FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Payload,Core,Block,ReusedCount,Serial,Longitude,Latitude,GridFins,Reused,Legs,LandingPad,LandingOutcome,Flights
11,2014-09-21,Falcon 9,2216.0,ISS,CCSFS SLC 40,5eb0e4bcb6c3bb0006eeb1f5,"{'core': '5e9e28a0f359184a683b2634', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'Ocean', 'landpad': None}",1.0,0,B1010,-80.577366,28.5618571,False,False,False,,False Ocean,1
12,2015-01-10,Falcon 9,2395.0,ISS,CCSFS SLC 40,5eb0e4bdb6c3bb0006eeb1f6,"{'core': '5e9e28a0f359187a3c3b2635', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb761634e7cb'}",1.0,0,B1012,-80.577366,28.5618571,True,False,True,5e9e3032383ecb761634e7cb,False ASDS,1
13,2015-02-11,Falcon 9,570.0,ES-L1,CCSFS SLC 40,5eb0e4bdb6c3bb0006eeb1f7,"{'core': '5e9e28a0f3591885be3b2636', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",1.0,0,B1013,-80.577366,28.5618571,True,False,True,,True Ocean,1
14,2015-04-14,Falcon 9,1898.0,ISS,CCSFS SLC 40,5eb0e4bdb6c3bb0006eeb1fa,"{'core': '5e9e28a1f359186d533b2638', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb761634e7cb'}",1.0,0,B1015,-80.577366,28.5618571,True,False,True,5e9e3032383ecb761634e7cb,False ASDS,1
15,2015-04-27,Falcon 9,4707.0,GTO,CCSFS SLC 40,5eb0e4beb6c3bb0006eeb1fb,"{'core': '5e9e28a1f35918233f3b2639', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",1.0,0,B1016,-80.577366,28.5618571,False,False,False,,None None,1
16,2015-06-28,Falcon 9,2477.0,ISS,CCSFS SLC 40,5eb0e4beb6c3bb0006eeb1fc,"{'core': '5e9e28a1f35918683c3b263a', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': None, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",1.0,0,B1018,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,None ASDS,1
17,2015-12-22,Falcon 9,2034.0,LEO,CCSFS SLC 40,5eb0e4beb6c3bb0006eeb1fd,"{'core': '5e9e28a1f3591867753b263b', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",1.0,0,B1019,-80.577366,28.5618571,True,False,True,5e9e3032383ecb267a34e7c7,True RTLS,1
18,2016-01-17,Falcon 9,553.0,PO,VAFB SLC 4E,5eb0e4beb6c3bb0006eeb1fe,"{'core': '5e9e28a1f3591842fa3b263c', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",1.0,0,B1017,-120.610829,34.632093,True,False,True,5e9e3033383ecbb9e534e7cc,False ASDS,1
19,2016-03-04,Falcon 9,5271.0,GTO,CCSFS SLC 40,5eb0e4beb6c3bb0006eeb1ff,"{'core': '5e9e28a1f359188def3b263d', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",1.0,0,B1020,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,False ASDS,1
20,2016-04-08,Falcon 9,3136.0,ISS,CCSFS SLC 40,5eb0e4bfb6c3bb0006eeb200,"{'core': '5e9e28a2f359182d0b3b263e', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",2.0,1,B1021,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
21,2016-05-06,Falcon 9,4696.0,GTO,CCSFS SLC 40,5eb0e4bfb6c3bb0006eeb201,"{'core': '5e9e28a2f35918077b3b263f', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",2.0,0,B1022,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
22,2016-05-27,Falcon 9,3100.0,GTO,CCSFS SLC 40,5eb0e4bfb6c3bb0006eeb202,"{'core': '5e9e28a2f3591845c73b2640', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",2.0,1,B1023,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
23,2016-07-18,Falcon 9,2257.0,ISS,CCSFS SLC 40,5eb0e4c0b6c3bb0006eeb205,"{'core': '5e9e28a2f359187f273b2642', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",2.0,1,B1025,-80.577366,28.5618571,True,False,True,5e9e3032383ecb267a34e7c7,True RTLS,1
24,2016-08-14,Falcon 9,4600.0,GTO,CCSFS SLC 40,5eb0e4c1b6c3bb0006eeb206,"{'core': '5e9e28a2f35918b8243b2643', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",2.0,0,B1026,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
25,2016-09-01,Falcon 9,5500.0,GTO,CCSFS SLC 40,5eb0e4c1b6c3bb0006eeb207,"{'core': '5e9e28a2f359187ee83b2644', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': None, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",3.0,0,B1028,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,None ASDS,1
26,2017-01-14,Falcon 9,9600.0,PO,VAFB SLC 4E,5eb0e4c2b6c3bb0006eeb208,"{'core': '5e9e28a3f359189e3a3b2645', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",3.0,1,B1029,-120.610829,34.632093,True,False,True,5e9e3033383ecbb9e534e7cc,True ASDS,1
27,2017-02-19,Falcon 9,2490.0,ISS,KSC LC 39A,5eb0e4c3b6c3bb0006eeb209,"{'core': '5e9e28a3f3591829dc3b2646', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",3.0,1,B1031,-80.6039558,28.6080585,True,False,True,5e9e3032383ecb267a34e7c7,True RTLS,1
28,2017-03-16,Falcon 9,5600.0,GTO,KSC LC 39A,5eb0e4c3b6c3bb0006eeb20a,"{'core': '5e9e28a3f3591878473b2647', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",3.0,0,B1030,-80.6039558,28.6080585,False,False,False,,None None,1
29,2017-03-30,Falcon 9,5300.0,GTO,KSC LC 39A,5eb0e4c3b6c3bb0006eeb20b,"{'core': '5e9e28a2f359182d0b3b263e', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",2.0,1,B1021,-80.6039558,28.6080585,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,2
30,2017-05-01,Falcon 9,6123.547647058824,LEO,KSC LC 39A,5eb0e4c3b6c3bb0006eeb20c,"{'core': '5e9e28a3f3591811f83b2648', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",3.0,1,B1032,-80.6039558,28.6080585,True,False,True,5e9e3032383ecb267a34e7c7,True RTLS,1
31,2017-05-15,Falcon 9,6070.0,GTO,KSC LC 39A,5eb0e4c3b6c3bb0006eeb20d,"{'core': '5e9e28a3f359186f3f3b2649', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",3.0,0,B1034,-80.6039558,28.6080585,False,False,False,,None None,1
32,2017-06-03,Falcon 9,2708.0,ISS,KSC LC 39A,5eb0e4c4b6c3bb0006eeb20e,"{'core': '5e9e28a3f3591856803b264a', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",3.0,1,B1035,-80.6039558,28.6080585,True,False,True,5e9e3032383ecb267a34e7c7,True RTLS,1
33,2017-06-23,Falcon 9,3669.0,GTO,KSC LC 39A,5eb0e4c4b6c3bb0006eeb20f,"{'core': '5e9e28a3f359189e3a3b2645', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",3.0,1,B1029,-80.6039558,28.6080585,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,2
34,2017-06-25,Falcon 9,9600.0,PO,VAFB SLC 4E,5eb0e4c4b6c3bb0006eeb210,"{'core': '5e9e28a3f3591801cf3b264b', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",3.0,1,B1036,-120.610829,34.632093,True,False,True,5e9e3033383ecbb9e534e7cc,True ASDS,1
35,2017-07-05,Falcon 9,6761.0,GTO,KSC LC 39A,5eb0e4c4b6c3bb0006eeb211,"{'core': '5e9e28a4f3591850cc3b264c', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",3.0,0,B1037,-80.6039558,28.6080585,False,False,False,,None None,1
36,2017-08-14,Falcon 9,2910.0,ISS,KSC LC 39A,5eb0e4c4b6c3bb0006eeb212,"{'core': '5e9e28a4f3591884ee3b264d', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",4.0,1,B1039,-80.6039558,28.6080585,True,False,True,5e9e3032383ecb267a34e7c7,True RTLS,1
37,2017-08-24,Falcon 9,475.0,SSO,VAFB SLC 4E,5eb0e4c4b6c3bb0006eeb213,"{'core': '5e9e28a4f359182d843b264e', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",3.0,1,B1038,-120.610829,34.632093,True,False,True,5e9e3033383ecbb9e534e7cc,True ASDS,1
38,2017-09-07,Falcon 9,4990.0,LEO,KSC LC 39A,5eb0e4c5b6c3bb0006eeb214,"{'core': '5e9e28a4f3591845123b264f', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",4.0,1,B1040,-80.6039558,28.6080585,True,False,True,5e9e3032383ecb267a34e7c7,True RTLS,1
39,2017-10-09,Falcon 9,9600.0,PO,VAFB SLC 4E,5eb0e4c5b6c3bb0006eeb215,"{'core': '5e9e28a4f3591843103b2650', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",4.0,1,B1041,-120.610829,34.632093,True,False,True,5e9e3033383ecbb9e534e7cc,True ASDS,1
40,2017-10-11,Falcon 9,5200.0,GTO,KSC LC 39A,5eb0e4c5b6c3bb0006eeb216,"{'core': '5e9e28a3f3591829dc3b2646', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",3.0,1,B1031,-80.6039558,28.6080585,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,2
41,2017-10-30,Falcon 9,3700.0,GTO,KSC LC 39A,5eb0e4c5b6c3bb0006eeb217,"{'core': '5e9e28a4f359185cc03b2651', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",4.0,0,B1042,-80.6039558,28.6080585,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
42,2017-12-15,Falcon 9,2205.0,ISS,CCSFS SLC 40,5eb0e4c5b6c3bb0006eeb218,"{'core': '5e9e28a3f3591856803b264a', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",3.0,1,B1035,-80.577366,28.5618571,True,True,True,5e9e3032383ecb267a34e7c7,True RTLS,2
43,2017-12-23,Falcon 9,9600.0,PO,VAFB SLC 4E,5eb0e4c6b6c3bb0006eeb219,"{'core': '5e9e28a3f3591801cf3b264b', 'flight': 2, 'gridfins': True, 'legs': False, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",3.0,1,B1036,-120.610829,34.632093,True,True,False,,True Ocean,2
44,2018-01-08,Falcon 9,6123.547647058824,LEO,CCSFS SLC 40,5eb0e4c6b6c3bb0006eeb21a,"{'core': '5e9e28a4f35918345e3b2652', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",4.0,1,B1043,-80.577366,28.5618571,True,False,True,5e9e3032383ecb267a34e7c7,True RTLS,1
45,2018-01-31,Falcon 9,4230.0,GTO,CCSFS SLC 40,5eb0e4c6b6c3bb0006eeb21b,"{'core': '5e9e28a3f3591811f83b2648', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",3.0,1,B1032,-80.577366,28.5618571,True,True,True,,True Ocean,2
46,2018-03-06,Falcon 9,6092.0,GTO,CCSFS SLC 40,5eb0e4c7b6c3bb0006eeb21f,"{'core': '5e9e28a5f359186cb73b2654', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",4.0,0,B1044,-80.577366,28.5618571,True,False,True,,None None,1
47,2018-03-30,Falcon 9,9600.0,PO,VAFB SLC 4E,5eb0e4c7b6c3bb0006eeb220,"{'core': '5e9e28a4f3591843103b2650', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",4.0,1,B1041,-120.610829,34.632093,True,True,True,,None None,2
48,2018-04-02,Falcon 9,2760.0,ISS,CCSFS SLC 40,5eb0e4c7b6c3bb0006eeb221,"{'core': '5e9e28a4f3591884ee3b264d', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",4.0,1,B1039,-80.577366,28.5618571,True,True,True,,None None,2
49,2018-04-18,Falcon 9,350.0,HEO,CCSFS SLC 40,5eb0e4c7b6c3bb0006eeb222,"{'core': '5e9e28a5f35918863d3b2655', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",4.0,1,B1045,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
50,2018-05-11,Falcon 9,3750.0,GTO,KSC LC 39A,5eb0e4c7b6c3bb0006eeb223,"{'core': '5e9e28a5f359182b023b2656', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,3,B1046,-80.6039558,28.6080585,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
51,2018-06-04,Falcon 9,5383.85,GTO,CCSFS SLC 40,5eb0e4c8b6c3bb0006eeb226,"{'core': '5e9e28a4f3591845123b264f', 'flight': 2, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",4.0,1,B1040,-80.577366,28.5618571,False,True,False,,None None,2
52,2018-06-29,Falcon 9,2410.0,ISS,CCSFS SLC 40,5eb0e4c8b6c3bb0006eeb227,"{'core': '5e9e28a5f35918863d3b2655', 'flight': 2, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",4.0,1,B1045,-80.577366,28.5618571,False,True,False,,None None,2
53,2018-07-22,Falcon 9,7076.0,GTO,CCSFS SLC 40,5eb0e4c8b6c3bb0006eeb228,"{'core': '5e9e28a5f359181eed3b2657', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,2,B1047,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
54,2018-07-25,Falcon 9,9600.0,PO,VAFB SLC 4E,5eb0e4c9b6c3bb0006eeb229,"{'core': '5e9e28a5f3591809c03b2658', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",5.0,4,B1048,-120.610829,34.632093,True,False,True,5e9e3033383ecbb9e534e7cc,True ASDS,1
55,2018-08-07,Falcon 9,5800.0,GTO,CCSFS SLC 40,5eb0e4c9b6c3bb0006eeb22a,"{'core': '5e9e28a5f359182b023b2656', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,3,B1046,-80.577366,28.5618571,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,2
56,2018-09-10,Falcon 9,7060.0,GTO,CCSFS SLC 40,5eb0e4c9b6c3bb0006eeb22b,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,9,B1049,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
57,2018-10-08,Falcon 9,2800.0,SSO,VAFB SLC 4E,5eb0e4c9b6c3bb0006eeb22c,"{'core': '5e9e28a5f3591809c03b2658', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}",5.0,4,B1048,-120.610829,34.632093,True,True,True,5e9e3032383ecb554034e7c9,True RTLS,2
58,2018-11-15,Falcon 9,3000.0,GTO,KSC LC 39A,5eb0e4c9b6c3bb0006eeb22d,"{'core': '5e9e28a5f359181eed3b2657', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,2,B1047,-80.6039558,28.6080585,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,2
59,2018-12-03,Falcon 9,4000.0,SSO,VAFB SLC 4E,5eb0e4c9b6c3bb0006eeb22e,"{'core': '5e9e28a5f359182b023b2656', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",5.0,3,B1046,-120.610829,34.632093,True,True,True,5e9e3033383ecbb9e534e7cc,True ASDS,3
60,2018-12-05,Falcon 9,2573.0,ISS,CCSFS SLC 40,5eb0e4cab6c3bb0006eeb22f,"{'core': '5e9e28a6f359185c603b265a', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",5.0,0,B1050,-80.577366,28.5618571,True,False,True,5e9e3032383ecb267a34e7c7,False RTLS,1
61,2018-12-23,Falcon 9,4400.0,MEO,CCSFS SLC 40,5eb0e4cab6c3bb0006eeb230,"{'core': '5e9e28a6f35918513b3b265b', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",5.0,0,B1054,-80.577366,28.5618571,False,False,False,,None None,1
62,2019-01-11,Falcon 9,9600.0,PO,VAFB SLC 4E,5eb0e4cab6c3bb0006eeb231,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",5.0,9,B1049,-120.610829,34.632093,True,True,True,5e9e3033383ecbb9e534e7cc,True ASDS,2
63,2019-03-02,Falcon 9,12259.0,ISS,KSC LC 39A,5eb0e4cbb6c3bb0006eeb235,"{'core': '5e9e28a6f35918c0803b265c', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,12,B1051,-80.6039558,28.6080585,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
64,2019-05-04,Falcon 9,2482.0,ISS,CCSFS SLC 40,5eb0e4cbb6c3bb0006eeb237,"{'core': '5e9e28a7f3591809313b2660', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,3,B1056,-80.577366,28.5618571,True,False,True,5e9e3032383ecb6bb234e7ca,True ASDS,1
65,2019-05-24,Falcon 9,13200.0,VLEO,CCSFS SLC 40,5eb0e4cbb6c3bb0006eeb238,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",5.0,9,B1049,-80.577366,28.5618571,True,True,True,5e9e3032383ecb6bb234e7ca,True ASDS,3
